Model,Prompt,Completeness,Correctness,Clarity,Simplicity,Flexibility,Implementability,CQS Mean,CQS SD,Macro CQS,Rank
GPT-5.1,CoT + Verifier,33.3333,50.0,93.3333,86.6667,77.7778,50.0,65.3846,11.5385,65.1852,1
GPT-5.1,CoT,26.6667,38.8889,86.6667,86.6667,66.6667,50.0,58.9744,16.0128,59.2593,2
Qwen-3,CoT + Verifier,0.0,44.4444,100.0,86.6667,33.3333,33.3333,52.5641,4.4412,49.6296,3
Qwen-3,CoT,0.0,44.4444,86.6667,80.0,44.4444,33.3333,50.0,6.6617,48.1481,4
GPT-5.1,One-shot,33.3333,22.2222,73.3333,73.3333,33.3333,50.0,47.4359,9.6793,47.5926,5
Qwen-3,One-shot,6.6667,33.3333,60.0,86.6667,55.5556,50.0,47.4359,5.8751,48.7037,5
